Crm Cd,Crm Cd Desc
110,CRIMINAL HOMICIDE
121,"RAPE, FORCIBLE"
122,"RAPE, ATTEMPTED"
210,ROBBERY
220,ATTEMPTED ROBBERY
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
236,INTIMATE PARTNER - AGGRAVATED ASSAULT
250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT"
251,SHOTS FIRED AT INHABITED DWELLING
310,BURGLARY
320,"BURGLARY, ATTEMPTED"
330,BURGLARY FROM VEHICLE
331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
349,GRAND THEFT / AUTO REPAIR
350,"THEFT, PERSON"
351,PURSE SNATCHING
352,PICKPOCKET
353,DRUNK ROLL
410,"BURGLARY FROM VEHICLE, ATTEMPTED"
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
421,THEFT FROM MOTOR VEHICLE - ATTEMPT
434,FALSE IMPRISONMENT
435,LYNCHING
436,LYNCHING - ATTEMPTED
440,THEFT PLAIN - PETTY ($950 & UNDER)
441,THEFT PLAIN - ATTEMPT
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
446,PETTY THEFT - AUTO REPAIR
450,THEFT FROM PERSON - ATTEMPT
451,PURSE SNATCHING - ATTEMPT
452,"PICKPOCKET, ATTEMPT"
473,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)"
474,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)"
475,"THEFT, COIN MACHINE - ATTEMPT"
480,BIKE - STOLEN
485,BIKE - ATTEMPTED STOLEN
487,BOAT - STOLEN
520,VEHICLE - ATTEMPT STOLEN
522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)"
622,BATTERY ON A FIREFIGHTER
623,BATTERY POLICE (SIMPLE)
624,BATTERY - SIMPLE ASSAULT
625,OTHER ASSAULT
626,INTIMATE PARTNER - SIMPLE ASSAULT
627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
647,THROWING OBJECT AT MOVING VEHICLE
648,ARSON
662,"BUNCO, GRAND THEFT"
664,"BUNCO, PETTY THEFT"
666,"BUNCO, ATTEMPT"
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
753,DISCHARGE FIREARMS/SHOTS FIRED
755,BOMB SCARE
756,WEAPONS POSSESSION/BOMBING
760,LEWD/LASCIVIOUS ACTS WITH CHILD
761,BRANDISH WEAPON
762,LEWD CONDUCT
763,STALKING
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
813,CHILD ANNOYING (17YRS & UNDER)
820,ORAL COPULATION
821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH
822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS
845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE
850,INDECENT EXPOSURE
860,BATTERY WITH SEXUAL CONTACT
884,FAILURE TO DISPERSE
886,DISTURBING THE PEACE
888,TRESPASSING
890,FAILURE TO YIELD
901,VIOLATION OF RESTRAINING ORDER
910,KIDNAPPING
920,KIDNAPPING - GRAND ATTEMPT
922,CHILD STEALING
924,TELEPHONE PROPERTY - DAMAGE
930,CRIMINAL THREATS - NO WEAPON DISPLAYED
931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)"
940,EXTORTION
